"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/constants/Colors.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 11, 4, 34
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/constants/Services.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 2, 25
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/hooks/useGlobalState.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/metro.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/package-lock.json", "JSON", 0, 0, 0, 0, 0, 18872, 0, 1, 18873
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/package.json", "JSON", 0, 0, 0, 0, 0, 56, 0, 1, 57
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/providers/redux/appStateSlice.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 1, 5, 25
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/providers/redux/authSlice.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 5, 30
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/providers/redux/store.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 4, 9, 47
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 1, 18
"/home/cre8steve-dev/Desktop/Mobile_Development/React_Native-Expo/_A_PRACTICE/salonix-mobile-app/types/global.d.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 8, 64
"Total", "-", 19, 51, 22, 4152, 182, 18928, 349, 517, 24220
